x,y
-10.0,-0.25
-9.821428571428571,-0.25
-9.642857142857142,-0.25
-9.464285714285714,-0.25
-9.285714285714286,-0.25
-9.107142857142858,-0.25
-8.928571428571429,-0.25
-8.75,-0.25
-8.571428571428571,-0.25
-8.392857142857142,-0.25
-8.214285714285714,-0.25
-8.035714285714285,-0.25
-7.857142857142858,-0.25
-7.678571428571429,-0.25
-7.5,-0.25
-7.321428571428571,-0.25
-7.142857142857142,-0.25
-6.964285714285714,-0.25
-6.785714285714286,-0.25
-6.607142857142858,-0.25
-6.428571428571429,-0.25
-6.25,-0.25
-6.071428571428571,-0.25
-5.892857142857142,-0.25
-5.714285714285714,-0.25
-5.535714285714286,-0.25
-5.357142857142857,-0.25
-5.178571428571429,-0.25
-5.0,-0.25
-4.821428571428571,-0.25
-4.642857142857142,-0.25
-4.464285714285714,-0.25
-4.285714285714286,-0.25
-4.107142857142857,-0.25
-3.928571428571429,-0.25
-3.75,-0.25
-3.571428571428571,-0.25
-3.3928571428571423,-0.25
-3.2142857142857144,-0.25
-3.0357142857142856,-0.25
-2.8571428571428568,-0.25
-2.678571428571429,-0.25
-2.5,-0.25
-2.321428571428571,-0.25
-2.1428571428571423,-0.25
-1.9642857142857135,-0.25
-1.7857142857142847,-0.25
-1.6071428571428577,-0.25
-1.4285714285714288,-0.25
-1.25,-0.25
-1.0714285714285712,-0.25
-0.8928571428571423,-0.25
-0.7142857142857135,-0.25
-0.5357142857142847,-0.25
-0.35714285714285765,-0.25
-0.17857142857142883,-0.25
0.0,-0.25
0.17857142857142883,-0.25
0.35714285714285765,-0.25
0.5357142857142865,-0.25
0.7142857142857153,-0.25
0.8928571428571423,-0.25
1.0714285714285712,-0.25
1.25,-0.25
1.4285714285714288,-0.25
1.6071428571428577,-0.25
1.7857142857142865,-0.25
1.9642857142857153,-0.25
2.1428571428571423,-0.25
2.321428571428571,-0.25
2.5,-0.25
2.678571428571429,-0.25
2.8571428571428577,-0.25
3.0357142857142865,-0.25
3.2142857142857153,-0.25
3.3928571428571423,-0.25
3.571428571428571,-0.25
3.75,-0.25
3.928571428571429,-0.25
4.107142857142858,-0.25
4.2857142857142865,-0.25
4.464285714285715,-0.25
4.642857142857142,-0.25
4.821428571428571,-0.25
5.0,-0.25
5.178571428571429,-0.25
5.357142857142858,-0.25
5.5357142857142865,-0.25
5.714285714285715,-0.25
5.892857142857142,-0.25
6.071428571428573,-0.25
6.25,-0.25
6.428571428571431,-0.25
6.607142857142858,-0.25
6.785714285714285,-0.25
6.964285714285715,-0.25
7.142857142857142,-0.25
7.321428571428573,-0.25
7.5,-0.25
7.678571428571431,-0.25
7.857142857142858,-0.25
8.035714285714285,-0.25
8.214285714285715,-0.25
8.392857142857142,-0.25
8.571428571428573,-0.25
8.75,-0.25
8.92857142857143,-0.25
9.107142857142858,-0.25
9.285714285714285,-0.25
9.464285714285715,-0.25
9.642857142857142,-0.25
9.821428571428573,-0.25
10.0,-0.25
10.0,0.25
9.81981981981982,0.25
9.63963963963964,0.25
9.45945945945946,0.25
9.27927927927928,0.25
9.0990990990991,0.25
8.91891891891892,0.25
